generation,rank_1,rank_2,swapAccepted
794000,1,3,0
795000,2,3,0
796000,1,3,0
797000,1,4,1
798000,1,3,0
799000,1,3,0
800000,2,4,1
801000,1,3,0
802000,3,4,1
803000,2,4,1
804000,2,4,1
805000,1,2,0
806000,2,4,0
807000,1,4,0
808000,2,3,1
809000,2,3,1
810000,1,2,0
811000,1,4,0
812000,1,3,1
813000,1,3,0
814000,1,3,0
815000,1,2,1
816000,2,4,1
817000,2,4,0
818000,2,4,1
819000,3,4,0
820000,2,3,1
821000,1,3,0
822000,1,3,0
823000,1,2,1
824000,1,4,0
825000,2,4,0
826000,2,4,0
827000,1,4,0
828000,3,4,0
829000,2,3,1
830000,2,3,1
831000,1,2,0
832000,2,4,0
833000,2,4,0
834000,3,4,1
835000,1,2,0
836000,1,4,0
837000,1,2,1
838000,2,3,0
839000,2,4,0
840000,1,3,0
841000,2,3,1
842000,1,3,1
843000,2,3,1
844000,2,4,0
845000,1,3,0
846000,1,3,0
847000,1,4,0
848000,1,4,0
849000,1,2,0
850000,2,4,1
851000,1,2,0
852000,3,4,1
853000,3,4,0
854000,1,4,0
855000,2,3,1
856000,1,3,0
857000,2,4,0
858000,1,4,0
859000,2,3,1
860000,2,4,0
861000,1,4,0
862000,1,2,0
863000,1,3,0
864000,2,3,1
865000,3,4,1
866000,1,2,1
867000,2,4,0
868000,2,4,0
869000,3,4,1
870000,1,3,1
871000,2,4,0
872000,1,3,1
873000,1,4,0
874000,1,3,1
875000,1,3,1
876000,1,3,0
877000,1,3,1
878000,2,4,0
879000,2,3,1
880000,2,3,1
881000,3,4,1
882000,1,4,1
883000,1,2,1
884000,2,4,0
885000,1,3,0
886000,1,3,0
887000,1,4,0
888000,3,4,1
889000,1,3,0
890000,2,3,0
891000,1,2,0
892000,3,4,0
893000,1,3,0
894000,1,4,0
895000,2,3,0
896000,1,3,0
897000,2,3,0
898000,1,4,0
899000,1,2,1
900000,3,4,1
901000,1,3,0
902000,3,4,0
903000,1,4,0
904000,1,2,1
905000,1,2,1
906000,1,2,1
907000,1,2,1
908000,1,4,0
909000,1,3,0
910000,1,3,0
911000,1,2,1
912000,1,2,1
913000,3,4,1
914000,1,4,0
915000,1,3,1
916000,1,2,1
917000,1,4,1
918000,3,4,0
919000,3,4,0
920000,2,3,1
921000,2,3,1
922000,2,3,1
923000,1,2,1
924000,2,3,1
925000,1,3,0
926000,1,4,1
927000,2,3,1
928000,2,4,1
929000,2,3,1
930000,2,3,1
931000,3,4,0
932000,1,2,1
933000,2,4,1
934000,1,2,0
935000,2,3,1
936000,2,3,1
937000,1,2,0
938000,3,4,1
939000,2,3,1
940000,2,3,1
941000,2,4,0
942000,1,4,1
943000,1,3,0
944000,2,3,0
945000,2,3,0
946000,1,3,0
947000,2,3,0
948000,1,3,1
949000,2,4,0
950000,2,4,1
951000,2,4,1
952000,2,4,1
953000,2,3,1
954000,1,3,1
955000,1,4,0
956000,2,4,1
957000,1,2,1
958000,3,4,1
959000,3,4,0
960000,1,3,1
961000,1,3,1
962000,2,3,0
963000,2,4,0
964000,1,3,0
965000,3,4,1
966000,2,4,0
967000,1,4,1
968000,1,3,1
969000,1,3,1
970000,3,4,1
971000,3,4,0
972000,1,2,1
973000,2,3,1
974000,2,3,1
975000,1,2,1
976000,1,4,0
977000,2,3,1
978000,1,4,0
979000,3,4,1
980000,1,4,0
981000,3,4,1
982000,3,4,0
983000,3,4,1
984000,1,4,0
985000,2,3,1
986000,1,2,0
987000,3,4,1
988000,3,4,1
