original_name,updated_name
Hypoponera_JTL013_EX3038,Hypoponera_jtl013_EX3038_CASENT0637308
Hypoponera_JTL016_EX3039,Hypoponera_jtl016_EX3039_CASENT0648789
Hypoponera_JTL022_EX3028,Hypoponera_jtl022_EX3028_CASENT0650248
Hypoponera_JTL023_EX3029,Hypoponera_jtl023_EX3029_CASENT0650214
Hypoponera_JTL026_EX3043,Hypoponera_jtl026_EX3043_CASENT0650271
Hypoponera_JTL029_EX3045,Hypoponera_jtl029_EX3045_CASENT0650286
Hypoponera_JTL031_EX3047,Hypoponera_jtl031_EX3047_CASENT0650289
Hypoponera_JTL032_EX3048,Hypoponera_jtl032_EX3048_CASENT0650275
Hypoponera_JTL033_EX3049,Hypoponera_dias19_2_EX3049_CASENT0650260
Hypoponera_JTL034_EX3042,Hypoponera_jtl034_EX3042_CASENT0650270
Hypoponera_JTL035_EX3050,Hypoponera_jtl035_EX3050_CASENT0650296
Hypoponera_JTL036_EX3051,Hypoponera_jtl036_EX3051_CASENT0650303
Hypoponera_JTL037_EX3052,Hypoponera_jtl037_EX3052_CASENT0632480
Hypoponera_JTL038_EX3032,Hypoponera_jtl038_EX3032_CASENT0650231
Hypoponera_MG007_MAMI0751_CASENT0243383,Hypoponera_mg007_MAMI0751_CASENT0243383
Hypoponera_MG024_MAMI0635_CASENT0175229,Hypoponera_mg024_MAMI0635_CASENT0175229
Hypoponera_MG025_MAMI1244_CASENT0136564,Hypoponera_mg025_MAMI1244_CASENT0136564
Hypoponera_MG026_MAMI0636_CASENT0377978,Hypoponera_mg026_MAMI0636_CASENT0377978
Hypoponera_MG117_MAMI1268_CASENT0164368,Hypoponera_mg117_MAMI1268_CASENT0164368
Hypoponera_MY13_EX2776,Hypoponera_my13_EX2776_CASENT0391772
Hypoponera_Mad02_EX3071,Hypoponera_mj_mad02_EX3071_CASENT0650368
Hypoponera_SKY_F_EX2824,Hypoponera_sky_f_EX2824_CASENT0919895
Hypoponera_UG10_EX2794,Hypoponera_ug10_EX2794_CASENT0356061
Hypoponera_VC01_EX2819,Hypoponera_vc01_EX2819_CASENT0766197
Hypoponera_VC02_EX2820,Hypoponera_vc02_EX2820_CASENT0729645
Hypoponera_Weam01_EX3072,Hypoponera_mj_weam01_EX3072_CASENT0650369
Hypoponera_abeillei_D2899,Hypoponera_abeillei_D2899_CASENT0923602
Hypoponera_aliena_EX3044,Hypoponera_aliena_EX3044_CASENT0650282
Hypoponera_angustata_EX2799,Hypoponera_angustata_EX2799_CASENT0784819
Hypoponera_aprora_D2469,Hypoponera_aprora_D2469_CASENT0820678
Hypoponera_blanda_EX2796,Hypoponera_blanda_EX2796_CASENT0356319
Hypoponera_boliviana_ms_EX2812,Hypoponera_boliviana_ms_EX2812_CASENT0919829
Hypoponera_camerunensis_D2078,Hypoponera_camerunensis_D2078_CASENT0882090
Hypoponera_coeca_D2079,Hypoponera_coeca_D2079_CASENT0882086
Hypoponera_comis_D2470,Hypoponera_comis_D2470_CASENT0250654
Hypoponera_defessa_EX2753,Hypoponera_defessa_EX2753_CASENT0226566
Hypoponera_dis_D2471,Hypoponera_dis_D2471_CASENT0250648
Hypoponera_distinguenda_EX2292,Hypoponera_distinguenda_EX2292_CASENT0649079
Hypoponera_dulcis_EX2808,Hypoponera_dulcis_EX2808_CASENT0783280
Hypoponera_eduardi_MAMI0594,Hypoponera_eduardi_MAMI0594_CASENT0158872
Hypoponera_ergatandria_MAMI0742_CASENT0261090,Hypoponera_ergatandria_MAMI0742_CASENT0261090
Hypoponera_eutrepta_D2080,Hypoponera_eutrepta_D2080_CASENT0882074
Hypoponera_exigua_EX2769,Hypoponera_exigua_EX2769_CASENT0226547
Hypoponera_fatiga_EX2791,Hypoponera_fatiga_EX2791_CASENT0356532
Hypoponera_gracilicornis_EX2285,Hypoponera_gracilicornis_EX2285_CASENT0649097
Hypoponera_hawkesi_D2468,Hypoponera_hawkesi_D2468_CASENT0250672
Hypoponera_importuna_EX2756,Hypoponera_importuna_EX2756_CASENT0218473
Hypoponera_inaudax_EX2757,Hypoponera_inaudax_EX2757_CASENT0192370
Hypoponera_inexorata_EX2317,Hypoponera_inexorata_EX2317_CASENT0647598
Hypoponera_javana_EX2815,Hypoponera_javana_EX2815_CASENT0919893
Hypoponera_jeanneli_EX2782,Hypoponera_jeanneli_EX2782_CASENT0128290
Hypoponera_johannae_MAMI0596_CASENT0132745,Hypoponera_johannae_MAMI0596_CASENT0132745
Hypoponera_lepida_EX2759,Hypoponera_lepida_EX2759_CASENT0417283
Hypoponera_leveillei_D2081,Hypoponera_leveillei_D2081_CASENT0882075
Hypoponera_ludovicae_MAMI0598_CASENT0060629,Hypoponera_ludovicae_MAMI0598_CASENT0060629
Hypoponera_meridia_EX2760,Hypoponera_meridia_EX2760_CASENT0395327
Hypoponera_molesta_EX2798,Hypoponera_molesta_EX2798_CASENT0361603
Hypoponera_monticola_D2085,Hypoponera_monticola_D2085_CASENT0270526
Hypoponera_natalensis_EX2762,Hypoponera_natalensis_EX2762_CASENT0923395
Hypoponera_nitidula_EX1578,Hypoponera_nitidula_EX1578_CASENT0618228
Hypoponera_occidentalis_EX2763,Hypoponera_occidentalis_EX2763_CASENT0218493
Hypoponera_odiosa_EX2764,Hypoponera_odiosa_EX2764_CASENT0226623
Hypoponera_opaciceps_EX2316,Hypoponera_opaciceps_EX2316_CASENT0647095
Hypoponera_opacior_nr1_D2572,Hypoponera_opacior_nr1_D2572_CASENT0886661
Hypoponera_opacior_nr2_D2862,Hypoponera_opacior_nr2_D2862_CASENT0886861
Hypoponera_opacior_nr3_D2573,Hypoponera_opacior_nr3_D2573_CASENT0886662
Hypoponera_parva_EX2281,Hypoponera_parva_EX2281_CASENT0635099
Hypoponera_perparva_D2464,Hypoponera_perparva_D2464_CASENT0250674
Hypoponera_producta_EX2765,Hypoponera_producta_EX2765_CASENT0226631
Hypoponera_pruinosa_EX3070,Hypoponera_pruinosa_EX3070_CASENT0650367
Hypoponera_psw_au01_D2591,Hypoponera_psw_au01_D2591_CASENT0886680
Hypoponera_psw_au02_D2618,Hypoponera_psw_au02_D2618_CASENT0886707
Hypoponera_psw_au05_D2595,Hypoponera_psw_au05_D2595_CASENT0886684
Hypoponera_psw_cn01_D2574,Hypoponera_psw_cn01_D2574_CASENT0886663
Hypoponera_psw_cu01_D2870,Hypoponera_psw_cu01_D2870_CASENT0886869
Hypoponera_psw_do01_D2864,Hypoponera_psw_do01_D2864_CASENT0886863
Hypoponera_psw_do02_D2865,Hypoponera_psw_do02_D2865_CASENT0886864
Hypoponera_psw_do03_D2866,Hypoponera_psw_do03_D2866_CASENT0886865
Hypoponera_psw_my01_D2575,Hypoponera_psw_my01_D2575_CASENT0886664
Hypoponera_psw_my05_D2577,Hypoponera_psw_my05_D2577_CASENT0886666
Hypoponera_psw_my06_D2578,Hypoponera_psw_my06_D2578_CASENT0886667
Hypoponera_psw_my12_D2584,Hypoponera_psw_my12_D2584_CASENT0886673
Hypoponera_psw_my16_D2585,Hypoponera_psw_my16_D2585_CASENT0886674
Hypoponera_psw_pe01_D2586,Hypoponera_psw_pe01_D2586_CASENT0886675
Hypoponera_psw_pe03_D2587,Hypoponera_psw_pe03_D2587_CASENT0886676
Hypoponera_psw_pe07_D2589,Hypoponera_psw_pe07_D2589_CASENT0886678
Hypoponera_psw_pe08_D2590,Hypoponera_psw_pe08_D2590_CASENT0886679
Hypoponera_ragusai_D2466,Hypoponera_ragusai_D2466_CASENT0818943
Hypoponera_sakalava_MAMI0743_CASENT0243030,Hypoponera_sakalava_MAMI0743_CASENT0243030
Hypoponera_sb_mano_MAMI1433_CASENT0073084,Hypoponera_sb_mano_MAMI1433_CASENT0073084
Hypoponera_sc_akir_MAMI1404_CASENT0038522,Hypoponera_sc_akir_MAMI1404_CASENT0038522
Hypoponera_sc_amba_MAMI1405_CASENT0162511,Hypoponera_sc_amba_MAMI1405_CASENT0162511
